Incident Description,Full Address,City,State,Country,category,Crime Date and Time,Disposition,Location,Case number,Body Value,Field Log Category Value,Field Log Disposition Value,Field Log Location Value
HARASSMENT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Harassment,4/20/2016 21:07,Closed CSA,1350 BULL LEA ROAD,CSA20160480,HARASSMENT,Harassment,Closed CSA,1350 BULL LEA ROAD
HARASSMENT-PHYSICAL CONTACT-NO INJURY,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Harassment,4/20/2016 21:29,Closed CSA,1350 BULL LEA ROAD,CSA20160481,HARASSMENT-PHYSICAL CONTACT-NO INJURY,Harassment,Closed CSA,1350 BULL LEA ROAD
TBUT OR DISP AUTO - UNDER $500,447 PENNSYLVANIA STREET  ,Lexington,Kentucky,United States of America,Motor Vehicle Theft,4/21/2016 2:56,Open,447 PENNSYLVANIA STREET,20160871,TBUT OR DISP AUTO - UNDER $500,Motor Vehicle Theft,Open,447 PENNSYLVANIA STREET
"TBUT OR DISP AUTO - $500 OR MORE BUT U/$10,000",447 PENNSYLVANIA STREET  ,Lexington,Kentucky,United States of America,Motor Vehicle Theft,4/21/2016 3:55,Open,447 PENNSYLVANIA STREET,20160872,"TBUT OR DISP AUTO - $500 OR MORE BUT U/$10,000",Motor Vehicle Theft,Open,447 PENNSYLVANIA STREET
TBUT OR DISP SHOPLIFTING U/$500,338  LEXINGTON AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/20/2016 18:24,Open,338  LEXINGTON AVENUE,20160873,TBUT OR DISP SHOPLIFTING U/$500,Theft,Open,338  LEXINGTON AVENUE
ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE),ADMINISTRATION DRIVE NEAR GATTON BUSINESS AND ECONOMICS BUILDING  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/22/2016 5:34,Open,ADMINISTRATION DRIVE NEAR GATTON BUSINESS AND ECONOMICS BUILDING,20160877,ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE),Alcohol Intoxication,Open,ADMINISTRATION DRIVE NEAR GATTON BUSINESS AND ECONOMICS BUILDING
OPER MOTOR VEHICLE U/INFLU ALCOHOL <21 YOA; CARELESS DRIVING,AVENUE OF CHAMPIONS/ROSE STREET  ,Lexington,Kentucky,United States of America,DUI,4/22/2016 5:33,Cleared By Arrest,AVENUE OF CHAMPIONS/ROSE STREET,20160878,OPER MOTOR VEHICLE U/INFLU ALCOHOL <21 YOA; CARELESS DRIVING,DUI,Cleared By Arrest,AVENUE OF CHAMPIONS/ROSE STREET
"OPER MTR VEH U/INFLU ALC/DRUGS/ETC.0.08 (AGG CIRCUM) 3RD OFF; POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED; VEHICLE A NUISANCE, NOISY, ETC.",ROSE STREET/EAST MAXWELL STREET  ,Lexington,Kentucky,United States of America,DUI,4/22/2016 5:57,Cleared By Arrest,ROSE STREET/EAST MAXWELL STREET,20160879,"OPER MTR VEH U/INFLU ALC/DRUGS/ETC.0.08 (AGG CIRCUM) 3RD OFF; POSS OF OPEN ALC BEVERAGE CONT IN MOTOR VEH PROHIBITED; VEHICLE A NUISANCE, NOISY, ETC.",DUI,Cleared By Arrest,ROSE STREET/EAST MAXWELL STREET
ALCOHOL INTOX IN A PUBLIC PLACE (1ST & WND OFFENSE),326 SOUTH MARTIN LUTHER KING BOULEVARD  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/22/2016 7:48,Cleared By Arrest,326 SOUTH MARTIN LUTHER KING BOULEVARD,20160880,ALCOHOL INTOX IN A PUBLIC PLACE (1ST & WND OFFENSE),Alcohol Intoxication,Cleared By Arrest,326 SOUTH MARTIN LUTHER KING BOULEVARD
"ASSAULT, 4TH DEGREE (NO VISIBLE INJURY)",310 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Assault,4/22/2016 7:10,Open,310 SOUTH LIMESTONE STREET,20160881,"ASSAULT, 4TH DEGREE (NO VISIBLE INJURY)",Assault,Open,310 SOUTH LIMESTONE STREET
HARASSMENT X2; CRIMINAL MISCHIEF,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Harassment,4/21/2016 21:04,Closed CSA,1350 BULL LEA ROAD,CSA20160488,HARASSMENT X2; CRIMINAL MISCHIEF,Harassment,Closed CSA,1350 BULL LEA ROAD
CRIMINAL MISCHIEF,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Criminal Mischief,4/21/2016 20:21,Closed CSA,1350 BULL LEA ROAD,CSA20160487,CRIMINAL MISCHIEF,Criminal Mischief,Closed CSA,1350 BULL LEA ROAD
HARASSMENT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Harassment,4/21/2016 17:24,Closed CSA,1350 BULL LEA ROAD,CSA20160486,HARASSMENT,Harassment,Closed CSA,1350 BULL LEA ROAD
VIOLATION OF KENTUCKY EPO/DVO,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,All Other Offenses,4/21/2016 15:45,Closed CSA,1350 BULL LEA ROAD,CSA20160485,VIOLATION OF KENTUCKY EPO/DVO,All Other Offenses,Closed CSA,1350 BULL LEA ROAD
ASSAULT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/21/2016 12:23,Closed CSA,1350 BULL LEA ROAD,CSA20160484,ASSAULT,Assault,Closed CSA,1350 BULL LEA ROAD
SEXUAL ABUSE,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Sex Offenses,4/21/2016 13:10,Closed CSA,1350 BULL LEA ROAD,CSA20160483,SEXUAL ABUSE,Sex Offenses,Closed CSA,1350 BULL LEA ROAD
ALCOHOL INTOXICATION; PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,769 WOODLAND AVENUE  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/17/2016 1:55,Closed CSA,769 WOODLAND AVENUE,CSA20160482,ALCOHOL INTOXICATION; PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,Alcohol Intoxication,Closed CSA,769 WOODLAND AVENUE
INDECENT EXPOSURE,401 HILLTOP AVENUE  ,Lexington,Kentucky,United States of America,All Other Offenses,4/22/2016 19:30,Closed,401 HILLTOP AVENUE,201610155,INDECENT EXPOSURE,All Other Offenses,Closed,401 HILLTOP AVENUE
TBUT OR DISP FROM BUILDING U/$500,440 HILLTOP AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/17/2016 6:00,Closed,440 HILLTOP AVENUE,20160882,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,440 HILLTOP AVENUE
TBUT OR DISP FROM BUILDING U/$500,1405 VETERANS DRIVE  ,Lexington,Kentucky,United States of America,Theft,7/1/2015 12:00,Closed,1405 VETERANS DRIVE,20160885,TBUT OR DISP FROM BUILDING U/$500,Theft,Closed,1405 VETERANS DRIVE
TBUT OR DISP BICYCLES U/$500,900 LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,4/22/2016 12:00,Closed,900 LIMESTONE STREET,20160884,TBUT OR DISP BICYCLES U/$500,Theft,Closed,900 LIMESTONE STREET
OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC.0.08-1ST OFF; RECKLESS DRIVING,SOUTH LIMESTONE STREET/VIRGINIA AVENUE  ,Lexington,Kentucky,United States of America,DUI,4/23/2016 3:54,Cleared By Arrest,SOUTH LIMESTONE STREET/VIRGINIA AVENUE,20160893,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC.0.08-1ST OFF; RECKLESS DRIVING,DUI,Cleared By Arrest,SOUTH LIMESTONE STREET/VIRGINIA AVENUE
"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000",763 WOODLAND AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/23/2016 3:10,Open,763 WOODLAND AVENUE,20160892,"TBUT OR DISP ALL OTHERS $500 OR MORE BUT U/$10,000",Theft,Open,763 WOODLAND AVENUE
DRUG PARAPHERNALIA - BUY/POSSESS; OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC.0.08 (AGG CIRCUM) 1ST OFF; LICENSE TO BE IN POSSESSION; RECKLESS DRIVIING,SCOTT STREET/LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Drug Violations,4/23/2016 8:59,Cleared By Arrest,SCOTT STREET/LIMESTONE STREET,20160897,DRUG PARAPHERNALIA - BUY/POSSESS; OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC.0.08 (AGG CIRCUM) 1ST OFF; LICENSE TO BE IN POSSESSION; RECKLESS DRIVIING,Drug Violations,Cleared By Arrest,SCOTT STREET/LIMESTONE STREET
DRUG PARAPHERNALIA-BUY/POSSESS; POSS OF MARIJUANA,AVENUE OF CHAMPIONS/ROSE STREET  ,Lexington,Kentucky,United States of America,Drug Violations,4/22/2016 10:00,Citation Issued,AVENUE OF CHAMPIONS/ROSE STREET,20160898,DRUG PARAPHERNALIA-BUY/POSSESS; POSS OF MARIJUANA,Drug Violations,Citation Issued,AVENUE OF CHAMPIONS/ROSE STREET
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",800 ROSE STREET  ,Lexington,Kentucky,United States of America,Theft,4/23/2016 8:00,Open,800 ROSE STREET,20160899,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",Theft,Open,800 ROSE STREET
ALCOHOL INTOXICATION,401 HILLTOP AVENUE (PARKING LOT BEHIND LIBRARY)  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/23/2016 4:02,Closed,401 HILLTOP AVENUE (PARKING LOT BEHIND LIBRARY),201610219,ALCOHOL INTOXICATION,Alcohol Intoxication,Closed,401 HILLTOP AVENUE (PARKING LOT BEHIND LIBRARY)
CRIMINAL MISCHIEF 2ND DEGREE,597 SOUTH UPPER STREET  ,Lexington,Kentucky,United States of America,Criminal Mischief,4/22/2016 20:00,Open,597 SOUTH UPPER STREET,20160901,CRIMINAL MISCHIEF 2ND DEGREE,Criminal Mischief,Open,597 SOUTH UPPER STREET
DRUG PARAPHERNALIA - BUY/POSSESS; POSS OF MARIJUANA; NO REGISTRATION PLATES,SOUTH LIMESTONE STREET/COOPER DRIVE  ,Lexington,Kentucky,United States of America,Drug Violations,4/24/2016 1:45,Citation Issued,SOUTH LIMESTONE STREET/COOPER DRIVE,20160903,DRUG PARAPHERNALIA - BUY/POSSESS; POSS OF MARIJUANA; NO REGISTRATION PLATES,Drug Violations,Citation Issued,SOUTH LIMESTONE STREET/COOPER DRIVE
ALCOHOL INTOXICATION,340 HILLTOP AVENUE  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/24/2016 1:46,Closed,340 HILLTOP AVENUE,201610291,ALCOHOL INTOXICATION,Alcohol Intoxication,Closed,340 HILLTOP AVENUE
DRUG PARAPHERNALIA - BUY/POSSESS; POSS OF MARIJUANA,SOUTH LIMESTONE/EAST MAXWELL STREET  ,Lexington,Kentucky,United States of America,Drug Violations,4/24/2016 5:25,Citation Issued,SOUTH LIMESTONE/EAST MAXWELL STREET,20160905,DRUG PARAPHERNALIA - BUY/POSSESS; POSS OF MARIJUANA,Drug Violations,Citation Issued,SOUTH LIMESTONE/EAST MAXWELL STREET
"POSS CONT SUB 1ST DEG 1ST OFF (HEROIN); PROMOTING CONTRABAND-1ST DEGREE; DISORDERLY CONDUCT, 2ND DEGREE; ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE)",PINE STREET (BEHIND 2 KEYS TAVERN)  ,Lexington,Kentucky,United States of America,Drug Violations,4/24/2016 6:14,Cleared By Arrest,PINE STREET (BEHIND 2 KEYS TAVERN),20160907,"POSS CONT SUB 1ST DEG 1ST OFF (HEROIN); PROMOTING CONTRABAND-1ST DEGREE; DISORDERLY CONDUCT, 2ND DEGREE; ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE)",Drug Violations,Cleared By Arrest,PINE STREET (BEHIND 2 KEYS TAVERN)
OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC..08-1ST OFF; CARELESS DRIVING,SOUTH UPPER STREET BEHIND PARKING STRUCTURE 5  ,Lexington,Kentucky,United States of America,DUI,4/24/2016 8:16,Cleared By Arrest,SOUTH UPPER STREET BEHIND PARKING STRUCTURE 5,20160908,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC..08-1ST OFF; CARELESS DRIVING,DUI,Cleared By Arrest,SOUTH UPPER STREET BEHIND PARKING STRUCTURE 5
ALC INTOX IN A PUB PLACE 3RD OR > OFF IN 12 MONTHS,515 EUCLID AVENUE  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/25/2016 4:25,Cleared By Arrest,515 EUCLID AVENUE,20160910,ALC INTOX IN A PUB PLACE 3RD OR > OFF IN 12 MONTHS,Alcohol Intoxication,Cleared By Arrest,515 EUCLID AVENUE
SEXUAL ABUSE,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Sex Offenses,4/24/2016 12:49,Unfounded,1350 BULL LEA ROAD,CSA20160490,SEXUAL ABUSE,Sex Offenses,Unfounded,1350 BULL LEA ROAD
TERRORISTIC THREATENING,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,4/23/2016 3:18,Closed CSA,1350 BULL LEA ROAD,CSA20160491,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA ROAD
CRIMINAL MISCHIEF,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Criminal Mischief,4/22/2016 14:45,Closed CSA,1350 BULL LEA ROAD,CSA20160492,CRIMINAL MISCHIEF,Criminal Mischief,Closed CSA,1350 BULL LEA ROAD
"ASSAULT, TERRORISTIC THREATENING",1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/22/2016 13:39,Closed CSA,1350 BULL LEA ROAD,CSA20160493,"ASSAULT, TERRORISTIC THREATENING",Assault,Closed CSA,1350 BULL LEA ROAD
SEXUAL ABUSE,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Sex Offenses,4/22/2016 14:00,Closed CSA,1350 BULL LEA ROAD,CSA20160494,SEXUAL ABUSE,Sex Offenses,Closed CSA,1350 BULL LEA ROAD
ASSAULT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/22/2016 16:42,Closed CSA,1350 BULL LEA ROAD,CSA20160495,ASSAULT,Assault,Closed CSA,1350 BULL LEA ROAD
ASSAULT X2,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/23/2016 16:31,Closed CSA,1350 BULL LEA ROAD,CSA20160496,ASSAULT X2,Assault,Closed CSA,1350 BULL LEA ROAD
ASSAULT; TERRORISTIC THREATENING; CRIMINAL MISCHIEF,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/23/2016 22:15,Closed CSA,1350 BULL LEA ROAD,CSA20160497,ASSAULT; TERRORISTIC THREATENING; CRIMINAL MISCHIEF,Assault,Closed CSA,1350 BULL LEA ROAD
CRIMINAL MISCHIEF,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Criminal Mischief,4/24/2016 1:23,Closed CSA,1350 BULL LEA ROAD,CSA20160498,CRIMINAL MISCHIEF,Criminal Mischief,Closed CSA,1350 BULL LEA ROAD
HARASSMENT-PHYSICAL CONTACT-NO INJURY,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Harassment,4/24/2016 20:29,Closed CSA,1350 BULL LEA ROAD,CSA20160499,HARASSMENT-PHYSICAL CONTACT-NO INJURY,Harassment,Closed CSA,1350 BULL LEA ROAD
DRUG PARAPHERNALIA - BUY/POSSESS; POSS OF MARIJUANA; CARELESS DRIVING,819 SOUTH LIMESTONE  ,Lexington,Kentucky,United States of America,Drug Violations,4/24/2016 5:55,Citation Issued,819 SOUTH LIMESTONE,20160906,DRUG PARAPHERNALIA - BUY/POSSESS; POSS OF MARIJUANA; CARELESS DRIVING,Drug Violations,Citation Issued,819 SOUTH LIMESTONE
"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",401 HILLTOP AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/24/2016 0:15,Closed,401 HILLTOP AVENUE,20160909,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",Theft,Closed,401 HILLTOP AVENUE
"BURGLARY, 3RD DEGREE; CRIMINAL MISCHIEF 3RD DEGREE",411 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Burglary,4/22/2016 21:00,Closed,411 SOUTH LIMESTONE STREET,20160911,"BURGLARY, 3RD DEGREE; CRIMINAL MISCHIEF 3RD DEGREE",Burglary,Closed,411 SOUTH LIMESTONE STREET
"TBUT OR DISP AUTO-$500 OR MORE BUT U/$10,000",900 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Theft,4/24/2016 22:30,Open,900 SOUTH LIMESTONE STREET,20160912,"TBUT OR DISP AUTO-$500 OR MORE BUT U/$10,000",Theft,Open,900 SOUTH LIMESTONE STREET
"BURGLARY, 3RD DEGREE",800 ROSE STREET  ,Lexington,Kentucky,United States of America,Burglary,4/22/2016 21:00,Closed,800 ROSE STREET,20160913,"BURGLARY, 3RD DEGREE",Burglary,Closed,800 ROSE STREET
TRAF IN MARIJUANA (LESS THAN 8 OZ.) 1ST OFF; DRUG PARAPHERNALIA-BUY/POSSESS,756 WOODLAND AVENUE  ,Lexington,Kentucky,United States of America,Drug Violations,4/25/2016 22:38,Citation Issued,756 WOODLAND AVENUE,20160920,TRAF IN MARIJUANA (LESS THAN 8 OZ.) 1ST OFF; DRUG PARAPHERNALIA-BUY/POSSESS,Drug Violations,Citation Issued,756 WOODLAND AVENUE
TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500,1540 UNIVERSITY DRIVE  ,Lexington,Kentucky,United States of America,Theft,4/24/2016 13:00,Closed,1540 UNIVERSITY DRIVE,20160921,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500,Theft,Closed,1540 UNIVERSITY DRIVE
"ROBBERY, 2ND DEGREE",310 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Robbery,4/26/2016 4:15,Open,310 SOUTH LIMESTONE STREET,20160923,"ROBBERY, 2ND DEGREE",Robbery,Open,310 SOUTH LIMESTONE STREET
"SEXUAL ABUSE, HARASSMENT-PHYSICAL CONTACT-NO INJURY X2",1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Sex Offenses,4/25/2016 11:55,Closed CSA,1350 BULL LEA ROAD,CSA20160500,"SEXUAL ABUSE, HARASSMENT-PHYSICAL CONTACT-NO INJURY X2",Sex Offenses,Closed CSA,1350 BULL LEA ROAD
PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X6,685 SPORTS CENTER DRIVE  ,Lexington,Kentucky,United States of America,Liquor Law Violation,4/24/2016 2:15,Closed CSA,685 SPORTS CENTER DRIVE,CSA20160501,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X6,Liquor Law Violation,Closed CSA,685 SPORTS CENTER DRIVE
PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,650 WOODLAND AVENUE  ,Lexington,Kentucky,United States of America,Liquor Law Violation,4/23/2016 2:57,Closed CSA,650 WOODLAND AVENUE,CSA20160502,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL,Liquor Law Violation,Closed CSA,650 WOODLAND AVENUE
ALC INTOX IN A PUB PLACE 3RD OR > OFF IN 12 MONTHS,287 SOUTH LIMESTONE  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/23/2016 0:40,Cleared By Arrest,287 SOUTH LIMESTONE,2016065952,ALC INTOX IN A PUB PLACE 3RD OR > OFF IN 12 MONTHS,Alcohol Intoxication,Cleared By Arrest,287 SOUTH LIMESTONE
CRIMINAL TRESPASSING-3RD DEGREE,151 WASHINGTON AVENUE  ,Lexington,Kentucky,United States of America,Criminal Trespass,4/26/2016 13:50,Open,151 WASHINGTON AVENUE,20160925,CRIMINAL TRESPASSING-3RD DEGREE,Criminal Trespass,Open,151 WASHINGTON AVENUE
POSS CONT SUB 1ST DEG 1ST OFF (DRUG UNSPECIFIED),1000 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Drug Violations,4/27/2016 8:00,Open,1000 SOUTH LIMESTONE STREET,20160931,POSS CONT SUB 1ST DEG 1ST OFF (DRUG UNSPECIFIED),Drug Violations,Open,1000 SOUTH LIMESTONE STREET
CRIMINAL TRESPASSING-3RD DEGREE,310 SOUTH LIMESTONE STREET  ,Lexington,Kentucky,United States of America,Criminal Trespass,4/27/2016 3:36,Cleared By Arrest,310 SOUTH LIMESTONE STREET,20160930,CRIMINAL TRESPASSING-3RD DEGREE,Criminal Trespass,Cleared By Arrest,310 SOUTH LIMESTONE STREET
PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X3,340 HILLTOP AVENUE  ,Lexington,Kentucky,United States of America,Liquor Law Violation,4/23/2016 7:12,Closed CSA,340 HILLTOP AVENUE,CSA20160511,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X3,Liquor Law Violation,Closed CSA,340 HILLTOP AVENUE
PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X8,325 HUGUELET DRIVE  ,Lexington,Kentucky,United States of America,Liquor Law Violation,4/26/2016 2:00,Closed CSA,325 HUGUELET DRIVE,CSA20160510,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X8,Liquor Law Violation,Closed CSA,325 HUGUELET DRIVE
ASSAULT; TERRORISTIC THREATENING X2; CRIMINAL MISCHIEF,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/26/2016 21:08,Closed CSA,1350 BULL LEA ROAD,CSA20160509,ASSAULT; TERRORISTIC THREATENING X2; CRIMINAL MISCHIEF,Assault,Closed CSA,1350 BULL LEA ROAD
ASSAULT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/26/2016 19:26,Closed CSA,1350 BULL LEA ROAD,CSA20160508,ASSAULT,Assault,Closed CSA,1350 BULL LEA ROAD
ASSAULT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/26/2016 18:04,Closed CSA,1350 BULL LEA ROAD,CSA20160507,ASSAULT,Assault,Closed CSA,1350 BULL LEA ROAD
ASSAULT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/26/2016 15:54,Closed CSA,1350 BULL LEA ROAD,CSA20160506,ASSAULT,Assault,Closed CSA,1350 BULL LEA ROAD
HARASSMENT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Harassment,4/26/2016 8:40,Closed CSA,1350 BULL LEA ROAD,CSA20160505,HARASSMENT,Harassment,Closed CSA,1350 BULL LEA ROAD
SEXUAL ABUSE,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Sex Offenses,4/26/2016 7:20,Unfounded,1350 BULL LEA ROAD,CSA20160504,SEXUAL ABUSE,Sex Offenses,Unfounded,1350 BULL LEA ROAD
ASSAULT,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/27/2016 3:50,Closed CSA,1350 BULL LEA ROAD,CSA20160503,ASSAULT,Assault,Closed CSA,1350 BULL LEA ROAD
POSS CONT SUB 1ST DEG 1ST OFF (COCAINE); TRAF IN MARIJUANA (8 OZ TO < 5 LBS.) 1ST OFF; DISPLAY OR POSS OF CANCELLED OR FICTITIOUS OPER LICENSE,650 WOODLAND AVENUE  ,Lexington,Kentucky,United States of America,Drug Violations,4/27/2016 18:52,Cleared By Arrest,650 WOODLAND AVENUE,20160939,POSS CONT SUB 1ST DEG 1ST OFF (COCAINE); TRAF IN MARIJUANA (8 OZ TO < 5 LBS.) 1ST OFF; DISPLAY OR POSS OF CANCELLED OR FICTITIOUS OPER LICENSE,Drug Violations,Cleared By Arrest,650 WOODLAND AVENUE
TBUT OR DISP PARTS FROM VEHICLE UNDER $500,140 HUGUELET DRIVE  ,Lexington,Kentucky,United States of America,Theft,4/26/2016 18:00,Open,140 HUGUELET DRIVE,20160935,TBUT OR DISP PARTS FROM VEHICLE UNDER $500,Theft,Open,140 HUGUELET DRIVE
"TBUT OR DISP AUTO-$500 OR MORE BUT U/$10,000",326 SOUTH MARTIN LUTHER KING BOULEVARD  ,Lexington,Kentucky,United States of America,Motor Vehicle Theft,4/27/2016 6:40,Open,326 SOUTH MARTIN LUTHER KING BOULEVARD,20160936,"TBUT OR DISP AUTO-$500 OR MORE BUT U/$10,000",Motor Vehicle Theft,Open,326 SOUTH MARTIN LUTHER KING BOULEVARD
TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500; CRIMINAL MISCHIEF 3RD DEGREE,349 SCOTT STREET  ,Lexington,Kentucky,United States of America,Theft,4/27/2016 12:00,Open,349 SCOTT STREET,2016069055,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500; CRIMINAL MISCHIEF 3RD DEGREE,Theft,Open,349 SCOTT STREET
ASSAULT X2; TERRORISTIC THREATENING X2,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Assault,4/27/2016 18:18,Closed CSA,1350 BULL LEA ROAD,CSA20160512,ASSAULT X2; TERRORISTIC THREATENING X2,Assault,Closed CSA,1350 BULL LEA ROAD
HARASSMENT-PHYSICAL CONTACT-NO INJURY,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Harassment,4/27/2016 16:52,Closed CSA,1350 BULL LEA ROAD,CSA20160513,HARASSMENT-PHYSICAL CONTACT-NO INJURY,Harassment,Closed CSA,1350 BULL LEA ROAD
TBUT OR DISP ALL OTHERS U/$500,401 HILLTOP AVENUE  ,Lexington,Kentucky,United States of America,Theft,4/29/2016 2:00,Closed,401 HILLTOP AVENUE,20160944,TBUT OR DISP ALL OTHERS U/$500,Theft,Closed,401 HILLTOP AVENUE
ALCOHOL INTOXICATION,344 MARTIN LUTHER KING BOULEVARD  ,Lexington,Kentucky,United States of America,Alcohol Intoxication,4/29/2016 3:37,Closed,344 MARTIN LUTHER KING BOULEVARD,201610892,ALCOHOL INTOXICATION,Alcohol Intoxication,Closed,344 MARTIN LUTHER KING BOULEVARD
TERRORISTIC THREATENING,1350 BULL LEA ROAD  ,Lexington,Kentucky,United States of America,Terroristic Threatening,4/28/2016 23:28,Closed CSA,1350 BULL LEA ROAD,CSA20160514,TERRORISTIC THREATENING,Terroristic Threatening,Closed CSA,1350 BULL LEA ROAD
DRUG PARAPHERNALIA-BUY/POSSESS; TRAF IN MARIJUANA (LESS THAN 8 OZ.) 1ST OFF,703 SPORTS CENTER DRIVE  ,Lexington,Kentucky,United States of America,Drug Violations,4/27/2016 11:00,Citation Issued,703 SPORTS CENTER DRIVE,20160933,DRUG PARAPHERNALIA-BUY/POSSESS; TRAF IN MARIJUANA (LESS THAN 8 OZ.) 1ST OFF,Drug Violations,Citation Issued,703 SPORTS CENTER DRIVE
HARASSING COMMUNICATIONS,344 SOUTH MARTIN LUTHER KING BOULEVARD  ,Lexington,Kentucky,United States of America,Harassing Communications,4/29/2016 2:00,Closed,344 SOUTH MARTIN LUTHER KING BOULEVARD,20160948,HARASSING COMMUNICATIONS,Harassing Communications,Closed,344 SOUTH MARTIN LUTHER KING BOULEVARD
