Category,Case Number,Crime Date and Time,Report Date,Location,Incident Description,Residential Occurance,Disposition,,,,,,,,,,,,,,
Drug Violations,20161062,05/13/2016 - 12:56am,5/13/2016,AVENUE OF CHAMPIONS/ROSE STREET,"POSS CONT SUB 1ST DEG 1ST OFF (COCAINE); DRUG PARAPHERNALIA-BUY/POSSESS; OPER MTR VEH U/INFLU ALC/DRUGS/ETC.0.08 (AGG CIRCUM), 2ND; CARELESS DRIVING",No,Cleared By Arrest,,,,,,,,,,,,,
All Other Offenses,CSA20160566,05/13/2016 - 12:43pm,5/13/2016,1350 BULL LEA ROAD,INDECENT EXPOSURE,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,20161063,04/30/2016 - 8:00am,5/13/2016,150 PATTERSON DRIVE,CRIMINAL MISCHIEF 3RD DEGREE,No,Closed,,,,,,,,,,,,,,
Theft,20161069,05/13/2016 - 9:00pm,5/13/2016,310 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500,No,Closed,,,,,,,,,,,,,,
Theft,200161065,05/13/2016 - 11:30am,5/13/2016,800 ROSE STREET,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",No,Closed,,,,,,,,,,,,,
All Other Offenses,CSA20160568,05/13/2016 - 2:54pm,5/13/2016,1350 BULL LEA ROAD,INDECENT EXPOSURE,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20160571,05/13/2016 - 9:36am,5/13/2016,1350 BULL LEA ROAD,TERRORISTIC THREATENING; MENACING,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Trespass,20161055,05/12/2016 - 1:38am,5/12/2016,1000 SOUTH LIMESTONE ST,CRIMINAL TRESPASSING - 3RD DEGREE,No,Cleared By Arrest,,,,,,,,,,,,,,
Criminal Trespass,20161058,05/12/2016 - 11:00am,5/12/2016,1000 SOUTH LIMESTONE ST,CRIMINAL TRESPASSING-3RD DEGREE,No,Open,,,,,,,,,,,,,,
Theft,20161056,05/12/2016 - 12:45pm,5/12/2016,330 SOUTH LIMESTONE ST,"TBUT OR DISP BICYCLES $500 OR MORE BUT U/$10,000",No,Closed,,,,,,,,,,,,,
Assault,20161060,05/12/2016 - 6:15pm,5/12/2016,1000 SOUTH LIMESTONE ST,"ASSAULT 3RD DEGREE-POLICE OFFICER OR PROB OFFICER; ASSAULT, 4TH DEGREE (NO VISIBLE INJURY); DISORDERLY CONDUCT, 2ND DEGREE; CRIMINAL TRESPASSING-3RD DEGREE",No,Cleared By Arrest,,,,,,,,,,,,
Sex Offenses,CSA20160567,05/12/2016 - 10:25am,5/12/2016,1350 BULL LEA ROAD,SEXUAL ABUSE,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160565,05/12/2016 - 2:25pm,5/12/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,csa20160564,05/12/2016 - 12:04pm,5/12/2016,1350 BULL LEA ROAD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160563,05/12/2016 - 6:35am,5/12/2016,1350 BULL LEA ROAD,ASSAULT; HARASSMENT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160562,05/12/2016 - 4:20am,5/12/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160561,05/12/2016 - 10:22pm,5/12/2016,1350 BULL LEA ROAD,ASSAULT; TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160560,05/12/2016 - 7:03pm,5/12/2016,1350 BULL LEA ROAD,ASSAULT; CRIMINAL MISCHIEF,No,Closed - CSA,,,,,,,,,,,,,,
All Other Offenses,CSA20160559,05/12/2016 - 6:24pm,5/12/2016,1350 BULL LEA ROAD,INDECENT EXPOSURE,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,20161048,05/11/2016 - 3:00am,5/11/2016,1000 SOUTH LIMESTONE ST,CRIMINAL MISCHIEF 3RD DEGREE,No,Closed - Cleared By Exception,,,,,,,,,,,,,,
Theft,20161049,04/27/2016 - 12:00pm,5/11/2016,1210 UNIVERSITY DRIVE,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",No,Closed,,,,,,,,,,,,,
Theft,20161050,04/16/2016 - 3:20am,5/11/2016,1000 SOUTH LIMESTONE ST,"TBUT OR DISP CONTROLLED SUBSTANCE U/$10,000",No,Closed,,,,,,,,,,,,,
Drug Violations,20161051,05/11/2016 - 4:40pm,5/11/2016,800 ROSE STREET,DRUG PARAPHERNALIA - BUY/POSSESS,No,Closed,,,,,,,,,,,,,,
Alcohol Intoxication,20161054,05/11/2016 - 10:25pm,5/11/2016,310 SOUTH LIMESTONE ST,ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,,,,,,,,,,,,,,
Assault,CSA20160555,05/11/2016 - 11:50pm,5/11/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160556,05/11/2016 - 12:39pm,5/11/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160557,05/11/2016 - 6:57pm,5/11/2016,1350 BULL LEA ROAD,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160558,05/11/2016 - 8:25pm,5/11/2016,1350 BULL LEA ROAD,HARASSMENT-PHYSICAL CONTACT-NO INJURY X2,No,Closed - CSA,,,,,,,,,,,,,,
All Other Offenses,20161057,03/25/2016 - 8:00am,5/11/2016,411 SOUTH LIMESTONE ST,CRIMINAL POSSESSION OF FORGED INSTR 3RD DEGREE,No,Closed,,,,,,,,,,,,,,
Criminal Mischief,20161042,05/06/2016 - 5:00pm,5/9/2016,408 ADMINISTRATION DRIVE,CRIMINAL MISCHIEF 3RD DEGREE,No,Closed,,,,,,,,,,,,,,
Criminal Mischief,20161043,05/09/2016 - 12:00am,5/9/2016,447 PENNSYLVANIA STREET,CRIMINAL MISCHIEF 3RD DEGREE,No,Closed,,,,,,,,,,,,,,
Criminal Mischief,20161044,05/08/2016 - 6:00pm,5/9/2016,410 ROSE LANE,CRIMINAL MISCHIEF 2ND DEGREE,No,Closed,,,,,,,,,,,,,,
Theft,20161045,05/08/2016 - 12:00pm,5/9/2016,650 WOODLAND AVENUE,TBUT OR DISP BICYCLES U/$500,No,Closed,,,,,,,,,,,,,,
Theft,20161041,05/05/2016 - 5:00pm,5/9/2016,740 LIMESTONE STREET,TBUT OR DISP FROM BUILDING U/$500,No,Open,,,,,,,,,,,,,,
Drug Violations,20161047,05/09/2016 - 11:50pm,5/9/2016,310 SOUTH LIMESTONE ST,DRUG PARAPHERNALIA - BUY/POSSESS; POSS MARIJUANA,No,Closed,,,,,,,,,,,,,,
Assault,CSA20160554,05/09/2016 - 5:08pm,5/9/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20160553,05/09/2016 - 2:47am,5/9/2016,1350 BULL LEA ROAD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160552,05/09/2016 - 4:47pm,5/9/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
DUI,20161032,05/08/2016 - 4:08am,5/8/2016,COOPER DRIVE/SPORTS CENTER DRI,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC.0.08 (AGG CIRCUM) 1ST OFF; NO OPERATORS-MOPED LICENSE; CARELESS DRIVING,No,Cleared By Arrest,,,,,,,,,,,,,,
DUI,20161031,05/08/2016 - 1:10am,5/8/2016,COOPER DRIVE/NICHOLASVILLE ROAD,OPER MTR VEHICLE U/INFLUENCE ALC/DRUGS/ETC.0.08-ST OFF; POSS OF OPEN ALC BEVERAGE CONT IN A MOTOR VEH PROHIBITED; CARELESS DRIVING,No,Cleared By Arrest,,,,,,,,,,,,,,
Motor Vehicle Theft,20161036,05/08/2016 - 2:30pm,5/8/2016,720 WOODLAND AVENUE,"TBUT OR DISP AUTO-$500 OR MORE BUT U/$10,000",No,Closed,,,,,,,,,,,,,
Theft,20161033,05/08/2016 - 10:30am,5/8/2016,310 SOUTH LIMESTONE ST,TBUT OR DISP BICYCLES U/$500,No,Closed,,,,,,,,,,,,,,
Harassment,CSA20160551,05/08/2016 - 7:53pm,5/8/2016,1350 BULL LEA ROAD,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160550,05/08/2016 - 12:37pm,5/8/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
All Other Offenses,201611809,05/08/2016 - 12:44am,5/8/2016,SOUTH LIMESTONE BETWEEN PINE STREET AND EAST MAXWELL STREET,MENACING,No,Closed,,,,,,,,,,,,,,
Criminal Trespass,201611803,05/08/2016 - 12:17am,5/8/2016,440 HILLTOP AVENUE,Criminal Trespass,No,Closed,,,,,,,,,,,,,,
Harassing Communications,2016011754,05/07/2016 - 2:00pm,5/7/2016,763 WOODLAND AVENUE,HARASSING COMMUNICATION,Yes,Closed,,,,,,,,,,,,,,
Alcohol Intoxication,20161027,05/07/2016 - 12:10am,5/7/2016,JERSEY STREET E LOT,ALC INTOX IN A PUB PLACE 3RD OR > OFF IN 12 MONTHS,No,Cleared By Arrest,,,,,,,,,,,,,,
Alcohol Intoxication,20161028,05/07/2016 - 1:43am,5/7/2016,740 WOODLAND AVENUE,ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,,,,,,,,,,,,,,
Assault,20161030,05/07/2016 - 6:46pm,5/7/2016,1350 BULL LEA ROAD,"ASSAULT, 4TH DEGREE (MINOR INJURY); CRIMINAL MISCHIEF 3RD DEGREE",No,Closed,,,,,,,,,,,,,
Harassment,CSA20160549,05/07/2016 - 8:48pm,5/7/2016,1350 BULL LEA ROAD,HARASSMENT,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,CSA20160546,05/07/2016 - 5:50am,5/7/2016,1350 BULL LEA ROAD,CRIMINAL MISCHIEF,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160545,05/07/2016 - 10:25am,5/7/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160544,05/07/2016 - 6:09pm,5/7/2016,1350 BULL LEA ROAD,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA,,,,,,,,,,,,,,
Alcohol Intoxication,20161010,05/06/2016 - 12:57am,5/6/2016,344 SOUTH MARTIN LUTHER KING BOULEVARD,ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE),Yes,Cleared By Arrest,,,,,,,,,,,,,,
All Other Offenses,20161013,05/06/2016 - 4:45am,5/6/2016,310 SOUTH LIMESTONE ST,"FLEEING OR EVADING POLICE, 2ND DEGREE (ON FOOT); ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE)",No,Cleared By Arrest,,,,,,,,,,,,,
Criminal Trespass,201611627,05/06/2016 - 1:57am,5/6/2016,440 HILLTOP AVENUE,CRIMINAL TRESPASS,No,Closed,,,,,,,,,,,,,,
Drug Violations,20161014,05/06/2016 - 6:08am,5/6/2016,SOUTH LIMESTONE ST/AVENUE OF OF CHAMPIONS,POSS OF MARIJUANA; DISREGARDING TRAFFIC CONTROL DEVICE,No,Citation issued,,,,,,,,,,,,,,
Theft,20161018,05/05/2016 - 4:00pm,5/6/2016,340 HILLTOP AVENUE,TBUT OR DISP FROM BUILDING U/$500,Yes,Open,,,,,,,,,,,,,,
Alcohol Intoxication,20161024,05/06/2016 - 9:00pm,5/6/2016,700 SPORTS CENTER DRIVE,ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,,,,,,,,,,,,,,
Theft,20161025,05/06/2016 - 9:45pm,5/6/2016,344 SOUTH MARTIN LUTHER KING BOULEVARD,TBUT OR DISP ALL OTHER U/$500,No,Closed,,,,,,,,,,,,,,
Criminal Mischief,CSA20160548,05/06/2016 - 8:42pm,5/6/2016,1350 BULL LEA ROAD,CRIMINAL MISCHIEF,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160547,05/06/2016 - 2:00pm,5/6/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Motor Vehicle Theft,20160998,05/05/2016 - 12:48am,5/5/2016,ROSE STREET AND HOSPITAL DRIVE,"TBUT OR DISP AUTO-$500 OR MORE BUT U/$10,000; RECEIVING STOLEN PROPERTY U/$10,000; FLEEING OR EVADING POLICE, 2ND DEGREE (ON FOOT); FLEEING OR EVADING POLICE, 2ND DEGREE (MOTOR VEHICLE)",No,Closed,,,,,,,,,,
Alcohol Intoxication,20160999,05/05/2016 - 1:47am,5/5/2016,AVENUE OF CHAMPIONS,ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,,,,,,,,,,,,,,
Theft,20161004,04/18/2016 - 12:00pm,5/5/2016,754 WOODLAND AVENUE,TBUT OR DISP ALL OTHERS U/$500,No,Closed,,,,,,,,,,,,,,
Alcohol Intoxication,20161008,05/05/2016 - 9:16pm,5/5/2016,385 SOUTH LIMESTONE STREEET,ALOCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,,,,,,,,,,,,,,
Alcohol Intoxication,201611602,05/05/2016 - 11:09pm,5/5/2016,AVENUE OF CHAMPIONS/LEXINGTON AVENUE,ALCOHOL INTOXICATION IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Closed,,,,,,,,,,,,,,
Assault,CSA20160543,05/05/2016 - 5:35pm,5/5/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160542,05/05/2016 - 11:50am,5/5/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Sex Offenses,CSA20160541,05/05/2016 - 10:10am,5/5/2016,1350 BULL LEA ROAD,RAPE,No,Unfounded,,,,,,,,,,,,,,
Assault,CSA20160540,05/05/2016 - 4:17am,5/5/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Mischief,CSA20160539,05/05/2016 - 9:20pm,5/5/2016,1350 BULL LEA ROAD,CRIMINAL MISCHIEF,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160538,05/05/2016 - 11:22am,5/5/2016,1350 BULL LEA ROAD,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA,,,,,,,,,,,,,,
Alcohol Intoxication,2016073807,05/05/2016 - 1:24pm,5/5/2016,SOUTH LIMESTONE ST/EAST MAXWELL STREET,ALC INTOX IN A PUB PLACE 3RD OR > OFF IN 12 MONTHS,No,Cleared By Arrest,,,,,,,,,,,,,,
Terroristic Threatening,20160985,04/29/2016 - 1:00pm,5/4/2016,1000 SOUTH LIMESTONE ST,"TERRORISTIC THREATENING, 3RD DEGREE",No,Closed,,,,,,,,,,,,,
Drug Violations,20160996,05/04/2016 - 3:27pm,5/4/2016,685 SPORTS CENTER DRIVE,DRUG PARAPHERNALIA-BUY/POSSESS; POSS OF MARIJUANA,Yes,Closed,,,,,,,,,,,,,,
Harassing Communications,CSA20160537,05/03/2016 - 1:00am,5/4/2016,752 WOODLAND AVENUE,HARASSING COMMUNICATIONS,Yes,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160536,05/04/2016 - 12:49pm,5/4/2016,1350 BULL LEA ROAD,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160535,05/04/2016 - 2:35pm,5/4/2016,1350 BULL LEA ROAD,ASSAULT; HARASSMENT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160528,05/02/2016 - 6:30pm,5/3/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Motor Vehicle Theft,20160987,05/03/2016 - 2:00pm,5/3/2016,201 AVENUE OF CHAMPIONS,"TBUT OR DISP AUTO - $500 OR MORE BUT U/$10,000",No,Closed,,,,,,,,,,,,,
Alcohol Intoxication,20160989,05/04/2016 - 7:54pm,5/3/2016,SOUTH LIMESTONE ST/MAXWELL STREET,ALC INTOX IN A PUB PLACE 3RD OR > OFF IN 12 MONTHS,No,Cleared By Arrest,,,,,,,,,,,,,,
Robbery,20160990,05/03/2016 - 10:28pm,5/3/2016,610 SOUTH LIMESTONE ST,"ROBBERY, 1ST DEGREE",No,Open,,,,,,,,,,,,,
Criminal Mischief,CSA20160530,05/03/2016 - 1:40am,5/3/2016,1350 BULL LEA ROAD,CRIMINAL MISCHIEF,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160531,05/03/2016 - 10:19am,5/3/2016,1350 BULL LEA ROAD,HARASSMENT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,2CSA20160532,05/03/2016 - 1:52pm,5/3/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160533,05/03/2016 - 2:38pm,5/3/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20160534,05/03/2016 - 5:45pm,5/3/2016,1350 BULL LEA ROAD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Criminal Trespass,20160973,05/02/2016 - 6:43am,5/2/2016,1000 SOUTH LIMESTONE ST,CRIMINAL TRESPASSING-3RD DEGREE; RESISTING ARREST,No,Cleared By Arrest,,,,,,,,,,,,,,
Theft,CSA20160516,05/01/2016 - 10:45pm,5/2/2016,1000 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500,No,Closed - CSA,,,,,,,,,,,,,,
Theft,20160976,04/29/2016 - 2:00pm,5/2/2016,440 HILLTOP AVENUE,"TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",No,Open,,,,,,,,,,,,,
Alcohol Intoxication,2016011288,05/02/2016 - 2:18pm,5/2/2016,201 AVENUE OF CHAMPIONS,ALCOHOL INTOXICATION,No,Closed,,,,,,,,,,,,,,
Theft,20160977,05/02/2016 - 3:24pm,5/2/2016,505 ROSE STREET,"THEFT BY DECEPTION-INCLUDE COLD CHECKS U/$500; UNLAWFUL ACCESS TO COMPUTER, 4TH DEGREE",No,Closed,,,,,,,,,,,,,
Criminal Mischief,20160978,05/02/2016 - 5:00pm,5/2/2016,310 SOUTH LIMESTONE ST,CRIMINAL MISCHIEF 2ND DEGREE,No,Closed,,,,,,,,,,,,,,
Criminal Mischief,CSA20160527,05/02/2016 - 5:54pm,5/2/2016,1350 BULL LEA ROAD,CRIMINAL MISCHIEF,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160526,05/02/2016 - 12:15pm,5/2/2016,1350 BULL LEA ROAD,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160525,05/02/2016 - 9:55am,5/2/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160524,05/02/2016 - 9:43am,5/2/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
DUI,20160963,05/01/2016 - 2:11am,5/1/2016,SOUTH LIMESTONE ST/AVENUE OF OF CHAMPIONS,OPER MTR VEHICLE U/INFLU ALC/DRUGS/ETC.0.08(AGG CIRCUM) 1ST OFF; CARELESS DRIVING,No,Cleared By Arrest,,,,,,,,,,,,,,
Alcohol Intoxication,201611114,05/01/2016 - 4:33am,5/1/2016,SOUTH LIMESTONE ST/WINSLOW STREET,ALCOHOL INTOXICATION,No,Closed,,,,,,,,,,,,,,
Drug Violations,20160968,05/01/2016 - 1:20pm,5/1/2016,344 SOUTH MARTIN LUTHER KING BOULEVARD,POSS OF MARIJUANA,No,Closed,,,,,,,,,,,,,,
Disorderly Conduct,20160967,05/01/2016 - 1:43pm,5/1/2016,1000 SOUTH LIMESTONE ST,"DISORDERLY CONDUCT, 2ND DEGREE; MENACING",No,Cleared By Arrest,,,,,,,,,,,,,
Theft,20160970,05/01/2016 - 8:01pm,5/1/2016,300 ALUMNI DRIVE,TBUT OR DISP FROM BUILDING U/$500,Yes,Open,,,,,,,,,,,,,,
Theft,20160971,05/01/2016 - 9:20pm,5/1/2016,765 WOODLAND AVENUE,TBUT OR DISP BICYCLES U/$500,No,Closed,,,,,,,,,,,,,,
Assault,CSA20160519,05/01/2016 - 6:26pm,5/1/2016,1350 BULL LEA ROAD,ASSAULT X2; TERRORISTIC THREATENING X2,No,Closed - CSA,,,,,,,,,,,,,,
Assault,CSA20160518,05/01/2016 - 2:01pm,5/1/2016,1350 BULL LEA ROAD,ASSAULT; MENACING,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,CSA20160517,05/01/2016 - 2:55pm,5/1/2016,1350 BULL LEA ROAD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Liquor Law Violation,CSA20160529,05/01/2016 - 12:50pm,5/1/2016,701 SPORTS CENTER DRIVE,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X3,Yes,Closed - CSA,,,,,,,,,,,,,,
Motor Vehicle Theft,20160958,04/22/2016 - 7:00pm,4/30/2016,429 COLUMBIA AVENUE,"TBUT OR DISP AUTO-$500 OR MORE BUT U/$10,000; CRIMINAL MISCHIEF 3RD DEGREE",No,Open,,,,,,,,,,,,,
Theft,20160959,04/30/2016 - 1:30pm,4/30/2016,1000 SOUTH LIMESTONE ST,TBUT OR DISP FROM BUILDING U/$500,No,Closed,,,,,,,,,,,,,,
Alcohol Intoxication,20160960,04/30/2016 - 6:31pm,4/30/2016,333 SOUTH LIMESTONE ST,ALCOHOL INTOX IN A PUBLIC PLACE (1ST & 2ND OFFENSE),No,Cleared By Arrest,,,,,,,,,,,,,,
Harassment,20160952,04/29/2016 - 4:50pm,4/30/2016,720 WOODLAND AVENUE,HARASSMENT (NO PHYSICAL CONTACT),Yes,Open,,,,,,,,,,,,,,
Motor Vehicle Theft,20160955,04/29/2016 - 10:00pm,4/30/2016,3394 DAISY ROAD,"TBUT OR DISP AUTO - $500 OR MORE BUT U/$10,000; TBUT OR DISP FROM BUILDING $500 OR MORE BUT U/$10,000",No,Open,,,,,,,,,,,,
Assault,CSA20160521,04/30/2016 - 4:32pm,4/30/2016,1350 BULL LEA ROAD,ASSAULT,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160520,04/30/2016 - 7:37pm,4/30/2016,1350 BULL LEA ROAD,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA,,,,,,,,,,,,,,
Terroristic Threatening,201611369,04/30/2016 - 6:15am,4/30/2016,450 ROSE STREET,TERRORISTIC THREATENING,No,Closed,,,,,,,,,,,,,,
Harassing Communications,20160948,04/28/2016 - 10:00pm,4/29/2016,344 SOUTH MARTIN LUTHER KING BOULEVARD,HARASSING COMMUNICATIONS,Yes,Closed,,,,,,,,,,,,,,
Sex Offenses,CSA20160523,04/29/2016 - 4:35am,4/29/2016,1350 BULL LEA ROAD,SEXUAL ABUSE; HARASSMENT,No,Unfounded,,,,,,,,,,,,,,
Terroristic Threatening,CSA20160522,04/29/2016 - 7:13am,4/29/2016,1350 BULL LEA ROAD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Alcohol Intoxication,CSA20160515,04/28/2016 - 7:30pm,4/29/2016,344 SOUTH MARTIN LUTHER KING BOULEVARD,ALCOHOL INTOXICATION; CRIMINAL DAMAGE,Yes,Closed - CSA,,,,,,,,,,,,,,
Alcohol Intoxication,201610970,04/29/2016 - 7:47pm,4/29/2016,AVENUE OF CHAMPIONS BETWEEN LEXINGTON AVENUE AND MARTIN LUTHER KING BOULEVARD,ALCOHOL INTOXICATION,No,Closed,,,,,,,,,,,,,,
Theft,20160944,04/28/2016 - 10:00pm,4/28/2016,401 HILLTOP AVENUE,TBUT OR DISP ALL OTHERS U/$500,No,Closed,,,,,,,,,,,,,,
Alcohol Intoxication,201610892,04/28/2016 - 11:37pm,4/28/2016,344 MARTIN LUTHER KING BOULEVARD,ALCOHOL INTOXICATION,No,Closed,,,,,,,,,,,,,,
Terroristic Threatening,CSA20160514,04/28/2016 - 7:28pm,4/28/2016,1350 BULL LEA ROAD,TERRORISTIC THREATENING,No,Closed - CSA,,,,,,,,,,,,,,
Drug Violations,20160931,04/27/2016 - 4:00am,4/27/2016,1000 SOUTH LIMESTONE ST,POSS CONT SUB 1ST DEG 1ST OFF (DRUG UNSPECIFIED),No,Open,,,,,,,,,,,,,,
Drug Violations,20160939,04/27/2016 - 2:52pm,4/27/2016,650 WOODLAND AVENUE,POSS CONT SUB 1ST DEG 1ST OFF (COCAINE); TRAF IN MARIJUANA (8 OZ TO < 5 LBS.) 1ST OFF; DISPLAY OR POSS OF CANCELLED OR FICTITIOUS OPER LICENSE,Yes,Cleared By Arrest,,,,,,,,,,,,,,
Theft,20160935,04/26/2016 - 2:00pm,4/27/2016,140 HUGUELET DRIVE,TBUT OR DISP PARTS FROM VEHICLE UNDER $500,No,Open,,,,,,,,,,,,,,
Motor Vehicle Theft,20160936,04/27/2016 - 2:40am,4/27/2016,326 SOUTH MARTIN LUTHER KING BOULEVARD,"TBUT OR DISP AUTO-$500 OR MORE BUT U/$10,000",No,Open,,,,,,,,,,,,,
Theft,2016069055,04/27/2016 - 8:00am,4/27/2016,349 SCOTT STREET,TBUT OR DISP CONTENTS FROM VEHICLE UNDER $500; CRIMINAL MISCHIEF 3RD DEGREE,No,Open,,,,,,,,,,,,,,
Assault,CSA20160512,04/27/2016 - 2:18pm,4/27/2016,1350 BULL LEA ROAD,ASSAULT X2; TERRORISTIC THREATENING X2,No,Closed - CSA,,,,,,,,,,,,,,
Harassment,CSA20160513,04/27/2016 - 12:52pm,4/27/2016,1350 BULL LEA ROAD,HARASSMENT-PHYSICAL CONTACT-NO INJURY,No,Closed - CSA,,,,,,,,,,,,,,
Drug Violations,20160933,04/27/2016 - 7:00am,4/27/2016,703 SPORTS CENTER DRIVE,DRUG PARAPHERNALIA-BUY/POSSESS; TRAF IN MARIJUANA (LESS THAN 8 OZ.) 1ST OFF,Yes,Citation issued,,,,,,,,,,,,,,
Robbery,20160923,04/26/2016 - 12:15am,4/26/2016,310 SOUTH LIMESTONE ST,"ROBBERY, 2ND DEGREE",No,Open,,,,,,,,,,,,,
Criminal Trespass,20160925,04/26/2016 - 9:50am,4/26/2016,151 WASHINGTON AVENUE,CRIMINAL TRESPASSING-3RD DEGREE,No,Open,,,,,,,,,,,,,,
Criminal Trespass,20160930,04/26/2016 - 11:36pm,4/26/2016,310 SOUTH LIMESTONE ST,CRIMINAL TRESPASSING-3RD DEGREE,No,Cleared By Arrest,,,,,,,,,,,,,,
Liquor Law Violation,CSA20160511,04/23/2016 - 3:12am,4/26/2016,340 HILLTOP AVENUE,PERSON 18-20 POSS/PURCH/ATT PURCH/HAVE ANOTHER PURCH ALCOHOL X3,Yes,Closed - CSA,,,,,,,,,,,,,,
